eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubleterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,npercap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode_txt2,claim3,claimmode3,claimmodetxt_3,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nreleased,addnotes,scite1,scite2,scite3
201504170084,2015,4,17,,0,,14,Australia,12,"Australasia & Oceania",Queensland,Toowoomba,-27.564238,151.947275,1,0,,"04/17/2015: Assailants set fire to Garden City mosque in Harristown, Toowoomba city, Queensland state, Australia. No casualties were reported. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Garden City Mosque",Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Arson Attack Leaves Queensland Mosque 'Almost Completely Destroyed' Two Days Before Opening"," International Business Times Australia"," April 17"
201505170064,2015,5,17,,0,,14,Australia,12,"Australasia & Oceania",Tasmania,Hobart,-42.884049,147.323719,1,0,,"05/17/2015: Assailants set fire to a nightclub in Hobart city, Tasmania, Australia. No casualties were reported. No group claimed responsibility for the incident.",0,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,2,Restaurant/Bar/Café,Flamingos,Bar,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Accelerant liquid was used in the attack.",,"There is doubt that this incident meets terrorism-related criteria. The nightclub's owner speculated that the assailant was either a "disgruntled patron"" or had a homophobic motive."",""CCTV captures arson attack on club"," Tasmania Mercury"," May 20"
201507170050,2015,7,17,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.829658,151.117538,1,0,"The incident occurred in Tennyson Point neighborhood.","07/17/2015: An explosive device was found and defused outside the home of Brad Haddin, a cricket player, in Tennyson Point suburb, Sydney, Australia. No group claimed responsibility for the incident.",1,1,1,1,4,"Lack of Intentionality",0,0,0,3,Bombing/Explosion,,,,,20,Unknown,,,Unknown,Unknown,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,17,"Other Explosive Type",,,,,,,,,,,,,"A crude bomb containing two butane canisters and an attached wick was used in the attack.",,"There is doubt that this incident meets terrorism-related criteria. It is unclear if the explosive device was intended to be used to carry out an attack.",""Explosive Device Found Outside Australian Cricketer Brad Haddin's Sydney Home"," International Business Times"," July 18"
201510020040,2015,10,2,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Parramatta,-33.815129,151.003278,1,0,,"10/02/2015: An assailant opened fire on a civilian police employee outside a police headquarters in Parramatta city, Sydney region, New South Wales province, Australia. The civilian employee, Curtis Cheng, and the assailant were killed in the assault. No group claimed responsibility; however, sources identified the attacker as Farad Jabar Khalil Mohammad.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,25,"Police Security Forces/Officers","Australian Federal Police (AFP)","Civilian Police Employee",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,,0,,,1,1,0,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,,,""Teenage terrorist Farhad Jabar spoke with Islamic State recruiter Neil Prakash"," news.com.au"," October 14"
201510150067,2015,10,14,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Bannockburn,-38.047645,144.170032,1,0,"The incident occurred on High St.","10/14/2015: Assailants set fire to St. John the Evangelist church in Bannockburn, Victoria, Australia. No casualties were reported in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship",Unknown,Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Geelong's Muslims get prayer space after fire guts mosque"," Melbourne Age"," May 18"
201511210064,2015,11,21,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Orange,-33.283013,149.100151,1,0,,"11/21/2015: Assailants threw Molotov cocktails at the Heatherbrae Parade church in Orange, New South Wales, Australia. There were no reported casualties. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Heatherbrae Parade Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Several Molotov cocktails were used in the attack.",,,""NO TITLE SUPPLIED"," Western Advocate (Fairfax Media)"," November 24"
201511230093,2015,11,23,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Orange,-33.283013,149.100151,1,0,,"11/23/2015: Assailants threw Molotov cocktails at St. Peter's Lutheran Church in Orange, New South Wales, Australia. There were no reported casualties. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. Peter's Lutheran Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Molotov cocktails were used in the attack.",,,""NO TITLE SUPPLIED"," Western Advocate (Fairfax Media)"," November 24"
201512050036,2015,12,5,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Norlane,-38.091417,144.357575,1,0,"The incident occurred on Sparks Rd.","12/05/2015: Assailants set fire to St. Peter's Chains church on Sparks road in Norlane, Victoria, Australia. No casualties were reported in the attack. This was one of two related attacks on this day. No group claimed responsibility for the incident.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. Peter's Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Geelong's Muslims get prayer space after fire guts mosque"," Melbourne Age"," May 18"
201512050037,2015,12,5,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Norlane,-38.094181,144.3571,1,0,"The incident occurred on Spruhan Ave.","12/05/2015: Assailants set fire to the Norlane Baptist Church on Spruhan Avenue, Norlane, Victoria, Australia. No casualties were reported in the attack. This was one of two related attacks on this day. No group claimed responsibility for the incident.",1,1,1,0,,,1,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship",Unknown,"Baptist Church",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Geelong's Muslims get prayer space after fire guts mosque"," Melbourne Age"," May 18"
201604150070,2016,4,14,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Geelong,-38.138255,144.348328,1,0,,"04/14/2016: Assailants set fire to the Geelong West Presbyterian Church in Geelong, Victoria, Australia. There were no reported casualties, but the church was damaged in the attack. No group claimed responsibility for the incident; however, sources suggested that the attack may have been related to allegations of past sexual abuse by local priests.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Geelong West Presbyterian Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Who is burning Geelong's churches?"," Australian Broadcasting Corporation (ABC) News"," May 18"
201605140067,2016,5,15,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Fawkner,-37.698179,144.965079,1,0,,"05/15/2016: Assailants threw firebombs at the Imam Ali Islamic Centre in Fawkner, Victoria, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",87,"Affiliated Institution","Imam Ali Islamic Centre","Shia Community Center",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Firebombs were used in the attack.",,,""Police search for culprits behind the fire-bombing of Islamic community centre"," Sydney Morning Herald"," February 25"
201605180073,2016,5,18,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Geelong,-38.133743,144.333937,1,0,,"05/18/2016: Assailants set fire to a mosque in Geelong, Victoria, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources suggested that the mosque was targeted because the assailants mistook it for a church.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship",Unknown,Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, sources posited that the mosque was targeted because the assailants believed it was a church.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Geelong's Muslims get prayer space after fire guts mosque"," Melbourne Age"," May 18"
201606280010,2016,6,28,,0,,14,Australia,12,"Australasia & Oceania","Western Australia",Perth,-32.053696,115.960731,1,0,,"06/28/2016: Assailants threw a petrol bomb at Thornlie Mosque in Perth, Western Australia state, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Thornlie Mosque",Mosque,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, sources noted that there was derogatory language regarding Islam spray-painted on the wall.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"A petrol bomb was used in the attack.",,,""Firebomb explodes outside Perth mosque as hundreds pray"," Al Jazeera"," June 29"
201607240025,2016,7,24,,0,,14,Australia,12,"Australasia & Oceania","Western Australia",Perth,-31.959414,115.873955,1,0,,"07/24/2016: Assailants set fire to the entrance of the 6PR radio station in Perth, Western Australia, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources noted that the attack may have been related to a radio discussion on Islam earlier that day.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,10,"Journalists & Media",54,"Radio Journalist/Staff/Facility","6PR Radio Station","Radio Station",14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, sources noted that the attack may have been related to a radio discussion on Islam earlier that day.",0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Arson attack on Radio 6PR and WAtoday building"," Melbourne Age"," July 24"
201609100025,2016,9,10,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Minto,-34.031804,150.850332,1,0,,"09/10/2016: An assailant stabbed and injured Wayne Greenhalg, a civilian, in Minto, New South Wales, Australia. Ihsas Khan claimed responsibility for the incident, and authorities suspected that the attack was inspired by the Islamic State of Iraq and the Levant (ISIL).",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",68,"Named Civilian","Not Applicable","Civilian: Wayne Greenhalg",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,"The specific motive is unknown; however, authorities suspected that the attack was inspired by the Islamic State of Iraq and the Levant (ISIL).",0,,,1,1,1,1,8,"Personal claim",,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"A hunting knife was used in the attack.",,,""ISIS-inspired Australian stabber charged with terrorism"," attempted murder"," Jerusalem Post"
201609230071,2016,9,23,,0,,14,Australia,12,"Australasia & Oceania","New South Wales","Hobbys Yards",-33.694586,149.328405,1,0,,"09/23/2016: Assailants set fire to St. Peter's Uniting Church in Hobbys Yards, New South Wales, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","St. Peter's Uniting Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Church hit by fire"," Blayney Chronicle"," September 26"
201611240059,2016,11,24,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Fawkner,-37.698036,144.965437,1,0,"The incident occurred in the Fawkner suburb in the north of the city.","11/24/2016: Assailants threw incendiary devices at the Imam Ali Islamic Center in Fawkner, north of Melbourne, Australia. There were no reported casualties in the attack. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",87,"Affiliated Institution","Imam Ali Islamic Center","Islamic Community Center",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,,0,,,1,2,2,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Firebombs were used in the attack.",,,""Three men face charges for IS-inspired arson attacks in Melbourne"," Deutsche Presse-Agentur"," August 20"
201612110032,2016,12,11,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Fawkner,-37.698082,144.964664,1,0,,"12/11/2016: Assailants threw an incendiary device at the Imam Ali Islamic Centre in Fawkner, Victoria, Australia. There were no reported casualties. No group claimed responsibility for the incident and while the specific motive is unknown, the words "Islamic State"" were spray-painted on the building."",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",87,"Affiliated Institution","Imam Ali Islamic Centre","Religious Community Center",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,"Jihadi-Inspired extremists claimed responsibility for the incident and stated "that Sunnis were the only Muslims."" Sources also noted that the assailants carried out the attack in order to intimidate members of the Shia Muslim community and that the words ""Islamic State"" were spray-painted on the building."",0,,,1,3,3,1,8,"Personal claim",,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"A firebomb was used in the attack.",,,""Three men face charges for IS-inspired arson attacks in Melbourne"," Deutsche Presse-Agentur"," August 20"
201706050019,2017,6,5,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Brighton,-37.906633,145.007628,1,0,"The incident occurred on Bay street.","06/05/2017: An assailants took a sex worker hostage at the Buckingham Serviced Apartments on Bay Street in Brighton, Victoria, Australia. At least two people, including the assailant, were killed and three Victoria Police officers were injured in the incident. The hostage was released a few hours later. Yacqub Khayre claimed responsibility and stated that he carried out the attack on behalf of the Islamic State of Iraq and the Levant (ISIL) and Al-Qaida.",1,1,1,0,,,0,1,0,5,"Hostage Taking (Barricade Incident)",,,,,3,Police,25,"Police Security Forces/Officers","Victoria Police",Officers,14,Australia,14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Not Applicable","Sex Worker",45,Colombia,,,,,,,,,"Jihadi-inspired extremists",,,,,,"An unaffiliated individual, identified as Yacqub Khayre, claimed responsibility for the incident and stated that he carried out the attack on behalf of the Islamic State of Iraq and the Levant (ISIL) and Al-Qaida.",0,,,1,1,0,1,8,"Personal claim",,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,,1,"The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident; however, Khayre's connection to ISIL could not be confirmed. Furthermore, Khayre had previous been linked to Al-Shabaab. Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.",""Australia police regard Melbourne attack as 'act of terrorism'"," Jerusalem Post"," June 5"
201707150042,2017,7,15,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Sydney,-33.934491,151.179691,1,0,,"07/15/2017: Assailants attempted to smuggle luggage containing two explosive devices onto an airplane at Sydney Airport in Sydney, Australia. After the luggage was refused by the airline for being overweight, the assailants left the airport and subsequently dismantled the devices. No group claimed responsibility for the incident; however, sources stated that the attempted attack was coordinated by the Islamic State of Iraq and the Levant (ISIL).",1,1,1,0,,,0,0,1,3,Bombing/Explosion,,,,,6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Etihad Airways",Airplane,14,Australia,,,,,,,,,,,,,,,,,"Islamic State of Iraq and the Levant (ISIL)",,,,,,,0,,,0,3,2,0,,,,,,,,,,6,Explosives,13,"Suicide (carried bodily by human being)",,,,,,,,,,,,,"Two explosive devices, including one hidden inside a meat grinder and another inside a Barbie doll, planted inside luggage were used in the attack.",,,""Australian terror plan to hide plane bomb in Barbie revealed"," BBC"," August 21"
201802090012,2018,2,9,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Melbourne,-37.673883,145.075344,1,0,"The incident occurred in the Callistemon Rise are of the Mill Park neighborhood.","02/09/2018: An assailant stabbed Roger Singaravelu at his residence in Mill Park neighborhood, Melbourne, Australia. Singaravelu, who had served as a homestay host to the assailant, was injured in the assault. No group claimed responsibility for the incident; however, authorities arrested and charged Momena Shoma in connection with the attack and stated that Shoma was inspired by the Islamic State of Iraq and the Levant (ISIL).",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",68,"Named Civilian","Not Applicable","Civilian: Roger Singaravelu",14,Australia,,,,,,,,,,,,,,,,,"Jihadi-inspired extremists",,,,,,"The specific motive is unknown; however, sources noted that the attack was inspired by the Islamic State of Iraq and the Levant (ISIL). Sources also noted that the assailant's sister admitted to being a member of the Jama'atul Mujahideen Bangladesh (JMB).",0,,,1,1,1,0,,,,,,,,,,9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,,,,,"A knife was used in the attack.",,,""Sister of Bangladeshi student accused of Melbourne stabbing arrested in Dhaka; Police say Asmaul Husna"," 22"," attacked officers with a knife when they tried to question her"
201805270039,2018,5,27,,0,,14,Australia,12,"Australasia & Oceania","New South Wales",Glenreagh,-30.050734,152.976779,1,0,"The incident occurred along Boundary street.","05/27/2018: Assailants set fire to St. Paul's Catholic Church in Glenreagh, New South Wales, Australia. There were no reported casualties. No group claimed responsibility for the incident.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,15,"Religious Figures/Institutions",86,"Place of Worship","Saint Paul's Catholic Church",Church,14,Australia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,,,,""Arsonists suspected"," Daily Examiner (Grafton"," New South Wales)"
201811090001,2018,11,9,,0,,14,Australia,12,"Australasia & Oceania",Victoria,Melbourne,-37.813628,144.963057,1,0,,"11/09/2018: An assailant exited his car, which was loaded with gas cylinders that caught fire, and proceeded to stab civilians in central Melbourne, Australia. One civilian was killed and two others were injured in the attack before the assailant was shot and killed by police. Sources noted that the assailant, Hassan Khalif Shire Ali, had his passport revoked in 2015 because authorities believed he was planning to travel to Syria in order to join the Islamic State of Iraq and the Levant (ISIL).",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Not Applicable",Civilians,14,Australia,3,Police,25,"Police Security Forces/Officers","Government of Australia",Officers,14,Australia,,,,,,,,,"Jihadi-inspired extremists",,,,,,"The specific motive is unknown; however, sources noted that Hassan Khalif Shire Ali's passport was cancelled in 2015 because authorities believed he was planning to travel to Syria in order to join the Islamic State of Iraq and the Levant (ISIL).",0,,,1,1,0,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",9,Melee,23,"Knife or Other Sharp Object",,,,,,,,,"A pickup truck filled with gas cylinders and a knife were used in the attack.",,"The Islamic State of Iraq and the Levant (ISIL)'s Amaq News Agency claimed that Hassan Khalif Shire Ali was "one of Islamic State fighters;"" however"," there was no known connection between Ali and ISIL found. The victims included restaurant owner Sisto Malaspina."",""Police Say Treating Melbourne Stabbing As A Terror Attack"," AFP (World Service)"
